CODIGO,NOMB_MPIO,AREA_HA,PRECSUM,PRECSCO,SLOPEMEAN,SLOPESCORE,SOILSQm,SOILSQS,ARIDITYm,ARIDITYS,AGSCORE
18001000,FLORENCIA,2430.42422,2583.958496,10,17.18922043,2,1.622694969,8,21162.9668,10,6.258
18001001,FLORENCIA,2497.135309,2423.447021,10,21.5091362,2,1.708404183,8,21415.81836,10,6.258
18001002,FLORENCIA,1900.19959,3012.256348,10,5.248339653,7,1.428571463,10,25063.11328,10,9.09
18001003,FLORENCIA,2419.105,3076.873047,10,5.793869019,7,1.428571582,10,25288.5332,10,9.09
18001004,FLORENCIA,2304.695139,2060.927734,10,23.01416588,2,1.714285731,8,17247.875,10,6.258
18001005,FLORENCIA,26550.12035,1726.124756,10,22.24263191,2,2.190318108,6,16920.63281,10,4.959
18001006,FLORENCIA,18632.41121,1697.160767,10,22.19970512,2,2.009470701,6,15482.4668,10,4.959
18001007,FLORENCIA,26718.25203,1752.642578,10,22.02014542,2,1.827572465,8,15849.81836,10,6.159
18001008,FLORENCIA,2173.14396,1621.818237,10,19.69884109,2,2,8,13882.43652,10,6.159
18001009,FLORENCIA,2478.973777,1621.093506,10,21.09749222,2,1.85821557,8,13566.11426,10,6.159
18001010,FLORENCIA,1829.350125,1710.89624,10,20.81938362,2,1.895872831,8,14499.43945,10,6.258
18001011,FLORENCIA,1894.901732,1796.706055,10,19.53020096,2,1.91974473,8,15459.29297,10,6.258
18001012,FLORENCIA,27905.03799,1994.446899,10,25.01107407,2,1.73461926,8,18020.52344,10,6.159
18001013,FLORENCIA,1989.463515,1742.939209,10,20.63353157,2,2,8,15144.08984,10,6.258
18001014,FLORENCIA,2298.431263,1866.39502,10,17.51384354,2,1.990689993,8,15648.0918,10,6.258
18001015,FLORENCIA,2569.255251,1913.521606,10,21.82593918,2,1.714285851,8,15748.0332,10,6.159
18001016,FLORENCIA,2466.274463,1955.551147,10,18.61957741,2,1.714285731,8,15783.71777,10,6.258
18001017,FLORENCIA,2066.908559,1891.329224,10,17.53284073,2,2,8,15506.16602,10,6.258
18001018,FLORENCIA,1836.96496,1949.355835,10,18.68784523,2,1.86144352,8,17060.98438,10,6.258
18001019,FLORENCIA,2062.845656,1877.638672,10,24.17622566,2,1.714285731,8,16343.56445,10,6.159
18001020,FLORENCIA,2654.688513,2193.23584,10,20.76888657,2,1.714285731,8,17918.29102,10,6.258
18001021,FLORENCIA,2356.49282,2308.393066,10,17.83159447,2,1.714285731,8,19132.55859,10,6.258
18001022,FLORENCIA,3653.033021,1978.428223,10,17.04234886,2,1.887855649,8,16357.0293,10,6.159
18001023,FLORENCIA,2693.465191,2294.262939,10,19.52044296,2,1.714285731,8,19796.69727,10,6.258
18001024,FLORENCIA,2480.276819,2421.4021,10,20.78582191,2,1.714285731,8,19645.16211,10,6.258
18001025,FLORENCIA,1874.540564,2413.862549,10,19.03772545,2,1.714285731,8,20536.41992,10,6.39
18001026,FLORENCIA,1681.176066,2541.442139,10,17.13152504,2,1.714285731,8,20249.27539,10,6.39
18001027,FLORENCIA,4233.658807,2372.932617,10,24.29724121,2,1.638025165,8,20237.52734,10,6.258
18001028,FLORENCIA,1932.251288,2667.706787,10,17.17523193,2,1.478111982,10,21860.5625,10,7.458
18001029,FLORENCIA,1826.508102,2772.720459,10,17.41643524,2,1.436205029,10,21942.75977,10,7.59
18001031,FLORENCIA,2497.29709,2628.626709,10,17.60607147,2,1.633543491,8,21450.37305,10,6.39
18001032,FLORENCIA,2095.671886,2709.128662,10,16.66609573,2,1.557930589,8,22131.04492,10,6.39
18001033,FLORENCIA,2121.699261,2366.344238,10,23.33767509,2,1.714285731,8,20431.10352,10,6.258
18001035,FLORENCIA,1372.888987,2951.262451,10,11.85920238,5,1.428571463,10,24277.98047,10,8.49
18001036,FLORENCIA,2271.588545,2876.921875,10,14.79008389,5,1.50617981,8,23327.18359,10,7.29
18001037,FLORENCIA,2094.632561,3018.258545,10,4.839788437,7,1.428571463,10,24990.42969,10,9.09
18001038,FLORENCIA,2081.044449,2997.452148,10,6.127599239,6,1.429646492,10,24908.86523,10,8.79
18001039,FLORENCIA,2232.2675,2780.671143,10,19.73383141,2,1.584822893,8,23121.1543,10,6.258
18001040,FLORENCIA,2463.754498,2965.275635,10,14.0817337,5,1.525128365,8,23980.25,10,7.29
18001041,FLORENCIA,2078.45163,2780.652344,10,18.8727932,2,1.486055493,10,23087.49609,10,7.458
18001042,FLORENCIA,2009.281796,2678.063965,10,21.70862389,2,1.560651183,8,22177.21289,10,6.258
18001043,FLORENCIA,1871.041734,3068.513672,10,4.88285923,7,1.428571463,10,24967.70117,10,9.09
18001044,FLORENCIA,2532.723618,3041.985107,10,4.94023037,7,1.428571463,10,25168.58203,10,9.09
18001045,FLORENCIA,1943.901348,3096.202881,10,6.487733841,6,1.428571463,10,25391.03906,10,8.79
18001046,FLORENCIA,2351.510342,3019.313721,10,10.84165955,5,1.551239133,8,24448.6543,10,7.29
18001047,FLORENCIA,2221.776102,3068.054932,10,4.75015831,7,1.428571343,10,25503.52344,10,9.09
18001048,FLORENCIA,2099.302905,2837.59668,10,17.8126812,2,1.428571463,10,23867.20313,10,7.59
18001049,FLORENCIA,1122.888248,2960.138916,10,6.248092175,6,1.428571343,10,25224.0332,10,8.79
18001050,FLORENCIA,2393.177972,3086.809082,10,5.236883163,7,1.430954933,10,25550.01758,10,9.09
18001051,FLORENCIA,2122.987246,3061.838379,10,3.348551035,7,1.539074302,8,25257.46289,10,7.89
18001052,FLORENCIA,1242.658817,3032.266602,10,3.956465483,7,1.428571343,10,25041.83594,10,9.09
18001053,FLORENCIA,1829.915833,3101.217285,10,6.342779636,6,1.428571343,10,25545.78125,10,8.79
18001054,FLORENCIA,1802.881546,3084.328857,10,4.431824684,7,1.428571463,10,25653.04688,10,9.09
18001055,FLORENCIA,1894.485779,3050.150879,10,3.36032939,7,1.433845401,10,25089.29883,10,9.09
18001056,FLORENCIA,2350.285904,3094.447754,10,5.862801075,7,1.428571463,10,25800.0957,10,9.09
18001057,FLORENCIA,2307.335191,3074.988037,10,5.469770908,7,1.428571463,10,25502.52539,10,9.09
18001058,FLORENCIA,1966.260752,3080.310303,10,4.06287241,7,1.428571343,10,25601.26563,10,9.09
18001059,FLORENCIA,2198.044012,3032.466797,10,4.975681782,7,1.428571463,10,25253.83203,10,9.09
18001060,FLORENCIA,2706.264899,3009.890625,10,4.108542919,7,1.428571343,10,25130.33789,10,9.09
18001061,FLORENCIA,2022.466198,3070.900879,10,5.286472797,7,1.428571463,10,25714.5,10,9.09
18001062,FLORENCIA,2190.597965,3054.042236,10,4.877368927,7,1.428571463,10,26069.72656,10,9.09
18001063,FLORENCIA,2575.772201,2987.485107,10,4.737918377,7,1.428571463,10,25162.61914,10,9.09
18001064,FLORENCIA,2770.456298,2950.2229,10,3.46457696,7,1.428571343,10,24884.10938,10,9.09
18001065,FLORENCIA,2599.118684,2988.923828,10,3.75780201,7,1.428571463,10,25119.87109,10,9.09
18001066,FLORENCIA,2615.5953,2213.410645,10,18.04392242,2,1.714285612,8,18312.20313,10,6.258
18001067,FLORENCIA,16242.30238,1746.758301,10,19.10561752,2,1.986359477,8,15881.46973,10,6.159
18001068,FLORENCIA,1039.031953,1815.195435,10,20.00854301,2,2.277089596,6,18590.74219,10,4.959
18029000,ALBANIA,2948.756427,3390.89502,10,3.34549284,7,1.428571463,10,29552.94531,10,9.09
18029001,ALBANIA,1766.437368,3454.077148,10,6.182902813,6,1.428571463,10,29875.625,10,8.79
18029002,ALBANIA,1859.111009,3385.220703,10,5.781852245,7,1.428571582,10,29510.0293,10,9.09
18029003,ALBANIA,2465.266444,3382.951904,10,5.834768295,7,1.428571463,10,29474.96094,10,9.09
18029004,ALBANIA,2101.061745,3326.663818,10,5.562319279,7,1.428571463,10,28962.93164,10,9.09
18029005,ALBANIA,2375.343079,3255.178711,10,2.32042861,8,1.428571463,10,27813.03125,10,9.39
18029006,ALBANIA,2471.484414,3388.344971,10,2.274935007,8,1.428571343,10,29277.10156,10,9.39
18029007,ALBANIA,2535.676121,3258.964111,10,2.168852329,8,1.428571582,10,28118.8457,10,9.39
18029008,ALBANIA,2126.042787,3283.043457,10,2.807301998,8,1.428571463,10,28340.08789,10,9.39
18029009,ALBANIA,1899.70449,3307.907959,10,3.653085232,7,1.428571343,10,28684.14844,10,9.09
18029010,ALBANIA,2010.468389,3276.07666,10,3.022001982,7,1.428571463,10,28481.25586,10,9.09
18029011,ALBANIA,2016.463875,3245.677002,10,2.678055763,8,1.428571463,10,28299.89844,10,9.39
18029012,ALBANIA,3316.616403,3325.890381,10,4.730308056,7,1.428571463,10,29002.13281,10,9.09
18029013,ALBANIA,2891.436056,3372.9646,10,4.62794733,7,1.428571463,10,29502.92578,10,9.09
18029014,ALBANIA,2053.85377,3428.082275,10,4.659408092,7,1.428571463,10,29748.80664,10,9.09
18029015,ALBANIA,1798.670159,3487.127441,10,4.862559319,7,1.428571463,10,30092.09961,10,9.09
18029016,ALBANIA,2137.416387,3438.74707,10,6.566412926,6,1.428571463,10,29786.43359,10,8.79
18029017,ALBANIA,2604.996108,3401.302246,10,4.241229057,7,1.428571463,10,30023.73633,10,9.09
18094001,BELÉN DE LOS ANDAQUÍES,925.3867662,3119.082764,10,4.683831692,7,1.428571343,10,26504.06055,10,9.09
18094002,BELÉN DE LOS ANDAQUÍES,833.4962697,3173.633301,10,2.632446527,8,1.428571463,10,26965.5957,10,9.39
18094003,BELÉN DE LOS ANDAQUÍES,940.588498,2974.200928,10,17.89945412,2,1.714285731,8,25786.72852,10,6.39
18094004,BELÉN DE LOS ANDAQUÍES,274.1370119,3240.89502,10,16.56072235,2,1.428571463,10,27561.375,10,7.59
18094005,BELÉN DE LOS ANDAQUÍES,1648.61471,3138.659424,10,2.472835779,8,1.428571463,10,26655.02148,10,9.39
18094006,BELÉN DE LOS ANDAQUÍES,1416.658459,2928.476074,10,19.19899368,2,1.668365955,8,25772.70508,10,6.39
18094007,BELÉN DE LOS ANDAQUÍES,2379.210542,3143.802979,10,2.512010098,8,1.428571582,10,26874.92969,10,9.39
18094008,BELÉN DE LOS ANDAQUÍES,1183.689386,3109.57666,10,4.74671936,7,1.428571582,10,26529.96289,10,9.09
18094010,BELÉN DE LOS ANDAQUÍES,713.6211838,2777.167725,10,18.46520424,2,1.714285731,8,24247.33789,10,6.39
18094011,BELÉN DE LOS ANDAQUÍES,4869.166474,2285.043945,10,20.89550781,2,1.824422002,8,19982.03516,10,6.159
18094012,BELÉN DE LOS ANDAQUÍES,417.4112986,2998.665283,10,18.94386292,2,1.428571463,10,25440.36523,10,7.59
18094013,BELÉN DE LOS ANDAQUÍES,1735.736517,3199.88623,10,2.918430805,8,1.428571463,10,27479.95117,10,9.39
18094014,BELÉN DE LOS ANDAQUÍES,1551.340705,3026.168701,10,19.71532822,2,1.461604595,10,26298.23047,10,7.59
18094015,BELÉN DE LOS ANDAQUÍES,1904.319475,3141.918457,10,2.59424901,8,1.428571463,10,26835.28906,10,9.39
18094016,BELÉN DE LOS ANDAQUÍES,942.5315622,3157.608398,10,2.498704672,8,1.428571463,10,27185.65234,10,9.39
18094017,BELÉN DE LOS ANDAQUÍES,1494.934405,3109.708984,10,2.858565092,8,1.428571463,10,26517.44141,10,9.39
18094018,BELÉN DE LOS ANDAQUÍES,1091.159154,2661.381348,10,19.88187027,2,1.714285731,8,22248.08594,10,6.39
18094019,BELÉN DE LOS ANDAQUÍES,1398.376336,3166.442871,10,2.579380989,8,1.516128898,8,27150.49219,10,8.19
18094020,BELÉN DE LOS ANDAQUÍES,741.3273795,2577.269043,10,20.82490921,2,1.714285731,8,22560.59961,10,6.39
18094021,BELÉN DE LOS ANDAQUÍES,1175.982611,2951.07251,10,16.36899376,5,1.714285731,8,24457.14844,10,7.29
18094022,BELÉN DE LOS ANDAQUÍES,511.7701536,2702.836914,10,14.67904568,5,1.714285731,8,22769.26563,10,7.29
18094023,BELÉN DE LOS ANDAQUÍES,1458.449607,3117.949951,10,2.246570826,8,1.500108361,8,26872.12305,10,8.19
18094024,BELÉN DE LOS ANDAQUÍES,2693.753254,3204.631104,10,3.579015255,7,1.428571463,10,27817.31055,10,9.09
18094025,BELÉN DE LOS ANDAQUÍES,521.4745899,3209.471924,10,3.860240698,7,1.428571582,10,27526.41406,10,9.09
18094026,BELÉN DE LOS ANDAQUÍES,1695.879425,2879.496582,10,17.87055779,2,1.438116193,10,24772.11914,10,7.59
18094027,BELÉN DE LOS ANDAQUÍES,644.2152544,2552.637451,10,16.09654045,5,1.714285731,8,24668.30469,10,7.29
18094028,BELÉN DE LOS ANDAQUÍES,1423.623645,3050.532715,10,16.57978249,2,1.650821924,8,25581.09766,10,6.39
18094030,BELÉN DE LOS ANDAQUÍES,1254.771527,2756.382324,10,18.5286808,2,1.714285731,8,23643.80273,10,6.39
18094031,BELÉN DE LOS ANDAQUÍES,948.8407406,2738.729736,10,16.00878525,5,1.714285731,8,23571.20508,10,7.29
18094032,BELÉN DE LOS ANDAQUÍES,831.4998904,3134.450439,10,5.538868427,7,1.428571463,10,26754.98633,10,9.09
18094033,BELÉN DE LOS ANDAQUÍES,1381.616225,2856.628418,10,19.34062195,2,1.642457366,8,23684.65625,10,6.39
18094034,BELÉN DE LOS ANDAQUÍES,840.9760055,2765.790283,10,16.31546021,5,1.714285851,8,24607.7832,10,7.29
18094035,BELÉN DE LOS ANDAQUÍES,2041.811563,2520.468018,10,21.65126419,2,1.714285731,8,21441.11719,10,6.258
18094036,BELÉN DE LOS ANDAQUÍES,770.7908731,2806.466553,10,15.06783772,5,1.714285731,8,23128.68555,10,7.29
18094037,BELÉN DE LOS ANDAQUÍES,881.7808252,2871.478516,10,17.45836258,2,1.714285731,8,24253.11133,10,6.39
18094038,BELÉN DE LOS ANDAQUÍES,644.4592206,2871.269287,10,15.52806854,5,1.714285851,8,24147.60352,10,7.29
18094039,BELÉN DE LOS ANDAQUÍES,2248.229964,2490.892822,10,19.89528656,2,1.841299057,8,21174.15234,10,6.39
18094040,BELÉN DE LOS ANDAQUÍES,728.2453245,3214.409668,10,2.915923119,8,1.428571463,10,27643.82813,10,9.39
18094041,BELÉN DE LOS ANDAQUÍES,957.4065895,3204.37207,10,5.669483185,7,1.428571343,10,27416.92383,10,9.09
18094042,BELÉN DE LOS ANDAQUÍES,1994.208913,3196.85083,10,3.882270336,7,1.428571463,10,27454.01367,10,9.09
18094043,BELÉN DE LOS ANDAQUÍES,408.3143383,2961.264404,10,18.12175751,2,1.714285731,8,24489.16602,10,6.39
18094044,BELÉN DE LOS ANDAQUÍES,20100.52661,2337.528076,10,25.40729523,2,1.944533944,8,21444.58203,10,6.159
18094045,BELÉN DE LOS ANDAQUÍES,1567.727019,2590.270264,10,18.555336,2,1.755024195,8,21388.95703,10,6.39
18094046,BELÉN DE LOS ANDAQUÍES,3212.565,3206.384033,10,4.337216377,7,1.428571463,10,27620.82617,10,9.09
18094047,BELÉN DE LOS ANDAQUÍES,291.273977,3244.756592,10,4.272320271,7,1.428571463,10,27947.37109,10,9.09
18094048,BELÉN DE LOS ANDAQUÍES,5135.417028,2289.060547,10,20.72956085,2,2,8,20167.07031,10,6.159
18094049,BELÉN DE LOS ANDAQUÍES,19868.96591,2026.698853,10,24.03155899,2,1.905523777,8,18565.95313,10,6.159
18094050,BELÉN DE LOS ANDAQUÍES,74.63020277,2447.160156,10,18.78456688,2,2,8,21752.83984,10,6.39
18094051,BELÉN DE LOS ANDAQUÍES,1160.735261,2523.153809,10,20.86079407,2,1.952015519,8,21912.57422,10,6.39
18094052,BELÉN DE LOS ANDAQUÍES,714.1326364,2839.82373,10,16.61541367,2,1.721577406,8,24371.92383,10,6.39
18094053,BELÉN DE LOS ANDAQUÍES,2106.788326,2799.993652,10,20.02542114,2,1.621631265,8,23640.77344,10,6.39
18094054,BELÉN DE LOS ANDAQUÍES,785.1791561,2807.839355,10,15.40048885,5,1.714285731,8,23680.03516,10,7.29
18094055,BELÉN DE LOS ANDAQUÍES,902.9877505,3181.158203,10,2.463847637,8,1.428571463,10,27415.39258,10,9.39
18094056,BELÉN DE LOS ANDAQUÍES,1116.872437,3144.865723,10,17.24450302,2,1.428571463,10,26856.40234,10,7.59
18094057,BELÉN DE LOS ANDAQUÍES,956.1603344,3119.891846,10,18.92645454,2,1.492815256,10,26231.07617,10,7.59
18094058,BELÉN DE LOS ANDAQUÍES,939.2762388,2461.608154,10,20.70060158,2,1.722533345,8,21114.58203,10,6.39
18094059,BELÉN DE LOS ANDAQUÍES,859.0075252,2860.889404,10,15.34105206,5,1.714285731,8,24989.27734,10,7.29
18094060,BELÉN DE LOS ANDAQUÍES,1692.211048,3000.657715,10,16.44228935,5,1.662772536,8,25675.67969,10,7.29
18094061,BELÉN DE LOS ANDAQUÍES,1424.723326,3120.519287,10,5.528357506,7,1.428571463,10,26465.3125,10,9.09
18094062,BELÉN DE LOS ANDAQUÍES,558.9529871,2656.196045,10,14.90120888,5,1.714285731,8,23096.4043,10,7.29
18094063,BELÉN DE LOS ANDAQUÍES,782.8404232,3201.022461,10,4.461784363,7,1.428571463,10,27776.30078,10,9.09
18094064,BELÉN DE LOS ANDAQUÍES,1602.143488,3168.713623,10,3.738907337,7,1.428571463,10,27490.23438,10,9.09
18094065,BELÉN DE LOS ANDAQUÍES,273.8275357,2585.808838,10,21.57304955,2,1.970722318,8,23359.3125,10,6.39
18094066,BELÉN DE LOS ANDAQUÍES,423.5463082,2510.767334,10,22.4401989,2,2,8,22728.58203,10,6.39
18150000,CARTAGENA DEL CHAIRÁ,2076.9447,2564.918701,10,3.65269208,7,1.428571463,10,21162.06836,10,9.09
18150001,CARTAGENA DEL CHAIRÁ,1439.592604,2588.730225,10,4.763548851,7,1.428571463,10,21593.16602,10,9.09
18150002,CARTAGENA DEL CHAIRÁ,2939.551318,2583.284424,10,4.587080956,7,1.428571463,10,21416.3457,10,9.09
18150003,CARTAGENA DEL CHAIRÁ,1896.366463,2575.103516,10,4.432748795,7,1.428571463,10,21593.17383,10,9.09
18150004,CARTAGENA DEL CHAIRÁ,2347.547269,2542.949219,10,3.663396358,7,1.428571463,10,21297.79297,10,9.09
18150005,CARTAGENA DEL CHAIRÁ,1010.196903,2560.852539,10,6.437526703,6,1.428571463,10,21473.57617,10,8.79
18150006,CARTAGENA DEL CHAIRÁ,2579.30411,2568.051758,10,4.957571983,7,1.428571582,10,21538.12891,10,9.09
18150007,CARTAGENA DEL CHAIRÁ,906.7981256,2553.481934,10,6.011278629,6,1.428571463,10,21357.68359,10,8.79
18150008,CARTAGENA DEL CHAIRÁ,1378.955383,2528.327881,10,4.745603085,7,1.428571463,10,21093.59375,10,9.09
18150009,CARTAGENA DEL CHAIRÁ,2691.1191,2557.154297,10,5.811275005,7,1.428571463,10,21400.82422,10,9.09
18150010,CARTAGENA DEL CHAIRÁ,2771.860851,2549.799561,10,6.097260952,6,1.428571463,10,21456.47852,10,8.79
18150011,CARTAGENA DEL CHAIRÁ,1007.152826,2554.406494,10,6.207227707,6,1.428571463,10,21477.46875,10,8.79
18150012,CARTAGENA DEL CHAIRÁ,1527.464467,2507.266113,10,4.616466999,7,1.428571463,10,21154.47656,10,9.09
18150013,CARTAGENA DEL CHAIRÁ,3262.935968,2660.893555,10,7.688766003,6,1.428571463,10,22168.49023,10,8.79
18150014,CARTAGENA DEL CHAIRÁ,1827.856042,2637.319824,10,8.02756691,6,1.428571582,10,22032.93555,10,8.79
18150015,CARTAGENA DEL CHAIRÁ,2722.10201,2598.701416,10,5.107241631,7,1.428571463,10,21561.49414,10,9.09
18150016,CARTAGENA DEL CHAIRÁ,1101.496529,2613.953613,10,6.405949593,6,1.428571463,10,22107.61133,10,8.79
18150017,CARTAGENA DEL CHAIRÁ,2179.529385,2591.580566,10,6.020658016,6,1.428571463,10,21676.92383,10,8.79
18150018,CARTAGENA DEL CHAIRÁ,1222.061635,2616.38501,10,7.057844639,6,1.428571463,10,21975.0918,10,8.79
18150019,CARTAGENA DEL CHAIRÁ,367.0190982,2637.434082,10,8.219141006,6,1.428571463,10,22152.92188,10,8.79
18150020,CARTAGENA DEL CHAIRÁ,2643.716402,2685.928467,10,7.373092651,6,1.428571463,10,22460.40625,10,8.79
18150021,CARTAGENA DEL CHAIRÁ,2904.480564,2689.847412,10,7.191625595,6,1.428571463,10,22418.41016,10,8.79
18150022,CARTAGENA DEL CHAIRÁ,2970.363946,2692.275391,10,7.329519749,6,1.428571343,10,22630.06836,10,8.79
18150023,CARTAGENA DEL CHAIRÁ,2815.490923,2690.351318,10,6.44588232,6,1.428571463,10,22712.81836,10,8.79
18150024,CARTAGENA DEL CHAIRÁ,1829.655223,2677.065918,10,8.436520576,6,1.428571463,10,22704.82422,10,8.79
18150025,CARTAGENA DEL CHAIRÁ,2140.151053,2665.929199,10,8.047332764,6,1.428571582,10,22420.0332,10,8.79
18150026,CARTAGENA DEL CHAIRÁ,712.9591775,2669.360352,10,8.992014885,5,1.428571463,10,22460.94531,10,8.49
18150027,CARTAGENA DEL CHAIRÁ,1023.594856,2656.158936,10,7.971456051,6,1.428571463,10,22324.4375,10,8.79
18150028,CARTAGENA DEL CHAIRÁ,3324.950442,2586.533936,10,7.437513828,6,1.428571463,10,21750.98828,10,8.79
18150029,CARTAGENA DEL CHAIRÁ,1627.463829,2545.835449,10,9.282418251,5,1.428571463,10,21483.35352,10,8.49
18150030,CARTAGENA DEL CHAIRÁ,2505.015498,2619.919922,10,8.198553085,6,1.428571582,10,21997.4668,10,8.79
18150031,CARTAGENA DEL CHAIRÁ,2617.257792,2657.018799,10,8.303779602,6,1.428571463,10,22292.0918,10,8.79
18150032,CARTAGENA DEL CHAIRÁ,2677.264202,2663.967041,10,6.307086945,6,1.428571343,10,22719.9082,10,8.79
18150033,CARTAGENA DEL CHAIRÁ,3389.456197,2646.720947,10,7.409441471,6,1.428571463,10,22799.94141,10,8.79
18150034,CARTAGENA DEL CHAIRÁ,1930.699149,2655.514404,10,9.267464638,5,1.428571463,10,22545.59375,10,8.49
18150035,CARTAGENA DEL CHAIRÁ,3653.150662,2620.288818,10,9.001433372,5,1.428571463,10,22350.63281,10,8.49
18150036,CARTAGENA DEL CHAIRÁ,3492.270055,2526.385498,10,4.82042551,7,1.428571463,10,21140.15625,10,9.09
18150037,CARTAGENA DEL CHAIRÁ,5828.019701,2523.591797,10,6.76616621,6,1.428571463,10,21370.42188,10,8.79
18150038,CARTAGENA DEL CHAIRÁ,2336.043982,2619.949463,10,7.190202713,6,1.428571582,10,22638.98438,10,8.79
18150039,CARTAGENA DEL CHAIRÁ,1604.031198,2596.623779,10,8.636131287,5,1.428571463,10,22099.6875,10,8.49
18150040,CARTAGENA DEL CHAIRÁ,2285.031222,2617.602783,10,7.681310654,6,1.428571463,10,22317.0957,10,8.79
