OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,AREA_HA,COD_DPTO
21942,18860,18860015,CAQUETÁ,VALPARAÍSO,EL PROGRESO,2482.022586,18
21943,18860,18860034,CAQUETÁ,VALPARAÍSO,LA SEVILLA ALTA,4575.718693,18
21944,18860,18860016,CAQUETÁ,VALPARAÍSO,EL ROSAL,8926.637387,18
21945,18860,18860031,CAQUETÁ,VALPARAÍSO,LA PRIMAVERA,4490.234363,18
21946,18860,18860024,CAQUETÁ,VALPARAÍSO,LA ESTRELLA,4124.941485,18
21947,18860,18860056,CAQUETÁ,VALPARAÍSO,SABALO BAJO,3871.249194,18
21948,18860,18860059,CAQUETÁ,VALPARAÍSO,SANTA ELENA BAJA,1054.571777,18
21949,18860,18860003,CAQUETÁ,VALPARAÍSO,ARGELIA,742.6006365,18
21950,18860,18860036,CAQUETÁ,VALPARAÍSO,LA UNION,917.4758488,18
21951,18860,18860035,CAQUETÁ,VALPARAÍSO,LA TIGRA,1335.818939,18
21952,18860,18860023,CAQUETÁ,VALPARAÍSO,LA ESPAÑOLA,609.1736042,18
21953,18860,18860047,CAQUETÁ,VALPARAÍSO,MANAURE,2173.725365,18
21954,18860,18860055,CAQUETÁ,VALPARAÍSO,SABALO ALTO,2222.896794,18
21955,18860,18860005,CAQUETÁ,VALPARAÍSO,ARGENTINA BAJA,1061.465086,18
21956,18860,18860048,CAQUETÁ,VALPARAÍSO,MATICURU,3177.872237,18
21957,18860,18860042,CAQUETÁ,VALPARAÍSO,LAS PALMERAS,874.8209854,18
21958,18860,18860037,CAQUETÁ,VALPARAÍSO,LA VICENTA,2584.120069,18
21959,18860,18860044,CAQUETÁ,VALPARAÍSO,LOS CEDROS,474.199064,18
21960,18860,18860040,CAQUETÁ,VALPARAÍSO,LAS NIEVES,882.0743846,18
21961,18860,18860004,CAQUETÁ,VALPARAÍSO,ARGENTINA,988.6431267,18
21962,18860,18860066,CAQUETÁ,VALPARAÍSO,GUADUAL CENTRAL,2436.619148,18
21963,18860,18860062,CAQUETÁ,VALPARAÍSO,SANTIAGO DE LA SELVA,366.3479168,18
21964,18860,18860038,CAQUETÁ,VALPARAÍSO,LAS ACACIAS,960.3178808,18
21965,18860,18860052,CAQUETÁ,VALPARAÍSO,PALESTINA,1423.287293,18
21966,18860,18860011,CAQUETÁ,VALPARAÍSO,EL CEDRAL,1171.849655,18
21967,18860,18860045,CAQUETÁ,VALPARAÍSO,LOS LAURELES,1516.643308,18
21968,18860,18860041,CAQUETÁ,VALPARAÍSO,LAS NIEVES ARRIBA,901.3144131,18
21969,18860,18860006,CAQUETÁ,VALPARAÍSO,BELLO HORIZONTE,3160.23644,18
21970,18860,18860050,CAQUETÁ,VALPARAÍSO,MIRAVALLE BAJO,1126.948085,18
21971,18860,18860000,CAQUETÁ,VALPARAÍSO,ALTO VERGEL,1107.552509,18
21972,18860,18860051,CAQUETÁ,VALPARAÍSO,NUEVA GRANADA,1700.468322,18
21973,18860,18860009,CAQUETÁ,VALPARAÍSO,COSTA RICA,1900.064792,18
21974,18860,18860039,CAQUETÁ,VALPARAÍSO,LAS MERCEDES,1527.471124,18
21975,18860,18860020,CAQUETÁ,VALPARAÍSO,GALILEA,1323.749096,18
21976,18860,18860049,CAQUETÁ,VALPARAÍSO,MIRAVALLE ALTO,1256.101085,18
21977,18860,18860002,CAQUETÁ,VALPARAÍSO,ANDALUCIA,1264.841093,18
21978,18860,18860060,CAQUETÁ,VALPARAÍSO,SANTA FÉ  TROCHA DIEZ,1514.478238,18
21979,18860,18860017,CAQUETÁ,VALPARAÍSO,EL TOPACIO BAJO,730.8528946,18
21980,18860,18860018,CAQUETÁ,VALPARAÍSO,EL VATICANO,1314.033822,18
21981,18860,18860019,CAQUETÁ,VALPARAÍSO,EL VERGEL,1435.723974,18
21982,18860,18860012,CAQUETÁ,VALPARAÍSO,EL ENCANTO,1659.936378,18
21983,18860,18860054,CAQUETÁ,VALPARAÍSO,PRADERA NUEVA,1896.445074,18
21984,18860,18860063,CAQUETÁ,VALPARAÍSO,TOPACIO ALTO,1325.261496,18
21985,18860,18860029,CAQUETÁ,VALPARAÍSO,LA MUÑOZ,1790.878677,18
21986,18860,18860026,CAQUETÁ,VALPARAÍSO,LA LEONA,1729.163625,18
21987,18860,18860014,CAQUETÁ,VALPARAÍSO,EL PORVENIR,929.7632818,18
21988,18860,18860057,CAQUETÁ,VALPARAÍSO,SAN PEDRO,1681.450757,18
21989,18860,18860046,CAQUETÁ,VALPARAÍSO,LUSITANIA,2266.078261,18
21990,18860,18860043,CAQUETÁ,VALPARAÍSO,LOS ANDES,1647.41996,18
21991,18860,18860010,CAQUETÁ,VALPARAÍSO,EL AGUILA,1522.481228,18
