OBJECTID,CODIGO_VER,NOMB_MPIO,NOMBRE_VER,AREA_HA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Area sqkm
21942,18860015,VALPARAÍSO,EL PROGRESO,2482.022586,73.49002838,72.70603943,70.90357208,70.71178436,68.17378235,65.32469177,65.19385529,61.56245422,59.48304367,58.51308441,57.22624588,55.21071243,54.4937706,52.30583572,50.48771286,48.68618393,47.22545242,45.11753845,42.662323,42.07698441,40.42233276,39.41032791,37.6624794,24.80570396
21943,18860034,VALPARAÍSO,LA SEVILLA ALTA,4575.718693,70.56729126,69.76875305,68.84380341,68.54384613,67.46977234,66.27095795,66.01980591,64.60079956,63.0137825,62.2287178,60.83404922,59.87020493,59.38549805,58.9122963,57.98407364,57.0439415,54.79740143,51.54505539,50.27381134,49.19258499,46.13514709,44.81604385,42.95048141,45.73368902
21944,18860016,VALPARAÍSO,EL ROSAL,8926.637387,74.76758575,73.16290283,71.23631287,70.77781677,69.22618103,67.72990417,67.3784256,64.13639069,61.40985107,58.99384308,57.30355835,55.56288528,54.69409943,52.31212234,50.34866714,48.58888245,46.32814789,44.10225677,42.22855759,41.34609222,38.98561859,37.51161957,35.72727585,89.21541589
21945,18860031,VALPARAÍSO,LA PRIMAVERA,4490.234363,51.73752213,49.2851944,47.39387894,47.12358856,45.67882156,44.77894211,44.49295807,41.34912872,38.87469101,37.210392,35.78489304,35.02161789,33.91420364,32.98721695,32.20881271,31.8237915,31.1507988,29.96016502,29.4347496,29.17944527,28.65252686,28.1613636,27.95030403,44.87389696
21946,18860024,VALPARAÍSO,LA ESTRELLA,4124.941485,66.58784485,66.00653076,65.27729034,65.02842712,63.69990921,61.96435165,61.7269249,59.54708481,57.03186035,56.29497528,55.3753624,54.61680984,53.97177887,52.90328598,51.4357605,50.15713501,48.56390381,47.14213181,45.92425156,45.08316422,42.6187439,41.24776459,38.93907166,41.22733734
21947,18860056,VALPARAÍSO,SABALO BAJO,3871.249194,58.37437057,57.1684494,55.62584686,55.08906937,52.60138321,51.41338348,50.57519531,47.54927063,45.44007492,43.38506317,41.06358719,40.07022095,39.67045593,39.09107971,37.99394989,37.2730484,36.50878525,35.00391769,33.74586868,33.34981155,32.67105865,32.2192688,31.9528141,38.6897595
21948,18860059,VALPARAÍSO,SANTA ELENA BAJA,1054.571777,37.72513962,37.05785751,36.37264633,36.21525574,35.20292664,34.49288177,34.46507263,33.14096832,32.2888031,32.10813141,32.07177734,31.84910011,31.69915962,31.40955925,31.13187027,30.68132019,30.4029541,30.09336662,27.60271835,27.20756149,26.57963371,26.11096001,25.67346001,10.53714689
21949,18860003,VALPARAÍSO,ARGELIA,742.6006365,31.63021851,31.22667122,30.91613388,30.4855423,30.1734333,29.50566673,29.01525116,27.64934349,27.49710464,27.24812126,27.15997887,27.14558792,26.97510719,26.97510719,26.50383568,26.302742,26.17327499,25.78860474,25.21631813,25.07503319,24.86409187,24.71138,24.71138,7.420688887
21950,18860036,VALPARAÍSO,LA UNION,917.4758488,34.73598099,33.91662216,33.10731125,32.69802856,32.23858643,31.27140617,31.2578125,30.13642693,29.75860786,29.69609833,29.52585793,29.47157097,29.31045914,29.27285767,29.07423782,29.07423782,28.9958725,28.35238266,27.96052361,27.61117172,27.57190514,27.52719879,27.52719879,9.167615643
21951,18860035,VALPARAÍSO,LA TIGRA,1335.818939,38.04078293,37.21364975,36.47063828,36.35053635,36.21226883,36.03343964,36.00767899,35.08542633,34.16108704,33.66263199,33.21775436,32.93852234,32.31475449,32.26919937,32.05742264,32.01388168,31.84968948,31.48052406,31.08167076,30.78145027,30.55161285,30.46449471,30.22278976,13.34684297
21952,18860023,VALPARAÍSO,LA ESPAÑOLA,609.1736042,30.464077,30.38295174,30.24786949,30.24786949,30.04825974,29.7369175,29.65250587,29.57807922,29.50966072,29.4367485,29.39530182,29.3704071,29.32731819,29.32731819,29.32731819,29.23406219,29.08798599,28.94835472,28.81424522,28.55200577,28.04059601,28.03794289,28.02122688,6.087185621
21953,18860047,VALPARAÍSO,MANAURE,2173.725365,44.1502533,43.0304184,42.53548813,41.87203598,40.20386124,38.65023422,38.168396,35.8529129,34.52951813,32.51476669,31.83570862,30.67334747,30.17443848,29.64272118,29.08547211,28.62705231,27.91247559,27.6004715,27.48981667,27.29916954,27.11741829,26.66934395,26.22735023,21.72264363
21954,18860055,VALPARAÍSO,SABALO ALTO,2222.896794,56.07448959,55.85287476,55.44107056,55.19661331,54.23181152,52.89624786,52.85793686,51.16777802,50.33228302,49.81270981,49.15263748,48.70915222,48.58229446,48.27165604,47.84022522,46.85757828,46.01166153,44.85434341,43.74590302,42.91845322,41.7840538,40.59182739,38.67853165,22.21634489
21955,18860005,VALPARAÍSO,ARGENTINA BAJA,1061.465086,28.70696831,28.32537079,27.94160843,27.75993729,27.27721977,27.18831062,27.17525291,26.92088127,26.71451187,26.53109932,26.49142838,26.21982574,26.14135551,25.91442871,25.07482147,24.88248825,24.54461861,24.50564384,24.1421299,23.83691978,23.33028984,23.11554718,22.55591202,10.60613246
21956,18860048,VALPARAÍSO,MATICURU,3177.872237,39.31880951,38.57553482,37.83999252,37.52711105,36.74382019,35.97117233,35.70123291,33.5190239,32.90126419,32.42664719,31.81158257,31.60606194,31.33216095,30.19602776,29.84247017,29.70083618,29.53733444,28.83753777,28.28491211,27.81186867,27.26795578,26.86415672,26.55138588,31.75924487
21957,18860042,VALPARAÍSO,LAS PALMERAS,874.8209854,22.47949791,22.32172394,22.27015686,22.27015686,22.1722374,21.99801064,21.96026039,21.81202126,21.81202126,21.7807827,21.65160561,21.59564209,21.59564209,21.59564209,21.59564209,21.4993763,21.38295937,21.33174706,20.6811142,20.22961426,19.07090378,19.07090378,18.95413399,8.741385144
21958,18860037,VALPARAÍSO,LA VICENTA,2584.120069,37.01454544,36.30062866,35.82721329,35.67247772,35.0279541,34.22069168,33.64835358,32.26940918,31.5234642,30.69661522,30.39984703,30.06170464,29.64206505,29.42736816,29.12483406,29.12483406,29.01206589,28.59614754,28.50014687,28.42447853,28.37774467,28.09689331,28.0784893,25.82424946
21959,18860044,VALPARAÍSO,LOS CEDROS,474.199064,44.23578262,43.72679901,43.50811386,43.19234467,43.12335968,42.25476456,42.25476456,38.34870529,37.1391716,36.29446411,35.13430786,34.84682846,34.75234222,34.56807327,34.06051254,34.04444122,34.04444122,33.75448227,33.51745224,33.39265442,32.75186539,32.58951569,31.75241089,4.737859378
21960,18860040,VALPARAÍSO,LAS NIEVES,882.0743846,20.56643105,20.45411682,20.02396965,19.87221146,19.5025425,19.38507652,19.334198,18.37695503,18.19613457,18.1908989,18.17571449,18.13548279,18.04097176,18.04097176,17.90003395,17.84749794,17.67208862,17.67208862,17.67208862,17.35940552,17.22240448,16.66441154,16.44750595,8.814107375
21961,18860004,VALPARAÍSO,ARGENTINA,988.6431267,29.88048553,29.81670952,29.73658371,29.58160019,29.44276047,28.86948967,28.78324318,28.34944725,28.12986946,27.74197388,27.65966797,27.08407402,26.69204521,26.6015625,26.24687004,25.57175064,25.10282516,25.10282516,24.48714447,24.35056305,24.12661362,23.96363449,23.88786888,9.878084613
21962,18860066,VALPARAÍSO,GUADUAL CENTRAL,2436.619148,38.35005188,37.51599503,37.2611351,37.1751709,36.81838608,36.48443604,36.48443604,35.50039291,34.95942688,33.62895203,32.99767685,32.26395035,31.65101051,30.80508232,30.35969734,30.26158905,29.83309364,29.29095459,28.04327965,27.54691887,26.4715023,25.97735977,25.63201904,24.34432456
21963,18860062,VALPARAÍSO,SANTIAGO DE LA SELVA,366.3479168,34.32189178,34.18361664,33.49056625,32.99070358,32.99070358,32.59647369,32.55213547,31.15667915,31.10508156,30.94663429,30.81991768,29.3034687,28.94083405,28.92002869,28.88430405,28.88389397,28.86519241,28.72523689,28.5593605,28.5593605,28.04198837,27.83415604,27.83415604,3.660312392
21964,18860038,VALPARAÍSO,LAS ACACIAS,960.3178808,45.3910408,44.84185028,44.51692581,44.38183975,44.24226379,43.60492325,43.59714508,40.1882515,39.16970444,37.90615845,36.60185623,33.03103638,31.3492775,30.74688721,30.13479805,30.13479805,30.04444695,29.39828491,27.28974724,26.63694,25.36961174,24.76906586,24.7649765,9.594732368
21965,18860052,VALPARAÍSO,PALESTINA,1423.287293,23.07087708,23.03339577,22.90758324,22.89719963,22.59209061,22.27986717,22.25041962,22.03542328,22.00934601,21.7322464,21.67127228,21.67127228,21.63806343,21.62611008,21.57353783,21.57353783,21.57353783,21.48348236,21.43491173,21.41327858,21.23607635,21.22807121,21.19578171,14.22133161
21966,18860011,VALPARAÍSO,EL CEDRAL,1171.849655,36.75080872,36.0492897,35.50469208,35.46422195,34.99677277,34.46500778,34.42626953,32.29807663,31.0303154,29.17825317,29.05034065,28.62546539,28.20460892,28.03031158,27.7853241,27.53219032,27.29496956,27.23656464,26.59430313,26.48913193,25.91122627,25.67160416,25.21405792,11.70801251
21967,18860045,VALPARAÍSO,LOS LAURELES,1516.643308,34.95571518,34.70205688,34.00131989,33.86505127,33.4657402,32.9020462,32.86489487,31.48724365,31.11395836,30.40139771,29.95074844,29.80656052,29.57898712,29.20462799,28.72219658,28.6673336,28.55583,28.41031837,28.05012321,27.86477661,27.80414391,27.50382042,27.42332649,15.15582425
21968,18860041,VALPARAÍSO,LAS NIEVES ARRIBA,901.3144131,19.20745277,19.14211845,18.68631554,18.6817894,18.64365959,18.07074547,18.06110573,17.59130287,17.43125534,17.34995079,17.34346008,17.34346008,17.3126297,17.3126297,17.3126297,17.3126297,17.28828812,17.28828812,17.13900185,17.13900185,16.74007988,16.69626617,16.44628906,9.006473043
21969,18860006,VALPARAÍSO,BELLO HORIZONTE,3160.23644,34.23390198,33.88969421,33.2828064,33.10593796,32.48790741,31.92159462,31.80666351,30.31019592,29.72804642,28.81103516,28.33069992,27.40077782,27.28196907,26.85125923,26.4490509,26.33337402,25.92522049,25.71938896,25.25673485,25.01021385,24.75108528,24.53242302,24.15239906,31.58240383
